Time;Seconds from start for linreg;Unix Time;ch1 po2;ch2 po2;ch3 po2;ch4 po2;
13:10:00;-2.0;1659323402;99.278;99.18;98.044;98.735;
13:10:01;-1.0;1659323402;99.278;99.171;98.089;98.768;
13:10:02;0.0;1659323404;99.269;99.175;98.075;98.731;
13:10:04;2.0;1659323405;99.257;99.166;98.106;98.674;
13:10:05;3.0;1659323406;99.242;99.132;98.104;98.62;
13:10:06;4.0;1659323407;99.237;99.122;98.131;98.645;
13:10:07;5.0;1659323408;99.245;99.135;98.105;98.687;
13:10:08;6.0;1659323409;99.254;99.11;98.042;98.648;
13:10:09;7.0;1659323411;99.304;99.107;98.031;98.624;
13:10:10;8.0;1659323412;99.331;99.082;98.094;98.589;
13:10:12;10.0;1659323413;99.31;99.117;98.065;98.572;
13:10:13;11.0;1659323414;99.284;99.086;98.031;98.536;
13:10:14;12.0;1659323415;99.237;99.043;97.968;98.501;
13:10:15;13.0;1659323416;99.213;99.034;98.027;98.502;
13:10:16;14.0;1659323418;99.175;99.037;97.971;98.467;
13:10:17;15.0;1659323419;99.197;99.028;97.959;98.486;
13:10:18;16.0;1659323420;99.203;99.019;97.873;98.468;
13:10:20;18.0;1659323421;99.212;99.019;97.846;98.433;
13:10:21;19.0;1659323422;99.176;99.013;97.748;98.371;
13:10:22;20.0;1659323423;99.18;98.995;97.719;98.299;
13:10:23;21.0;1659323424;99.141;98.974;97.727;98.27;
13:10:24;22.0;1659323425;99.109;98.968;97.755;98.226;
13:10:25;23.0;1659323427;99.089;98.928;97.743;98.209;
13:10:26;24.0;1659323428;99.133;98.9;97.723;98.176;
13:10:28;26.0;1659323429;99.145;98.879;97.653;98.116;
13:10:29;27.0;1659323430;99.113;98.873;97.584;98.105;
13:10:30;28.0;1659323431;99.089;98.867;97.508;98.079;
13:10:31;29.0;1659323432;99.063;98.855;97.482;98.074;
13:10:32;30.0;1659323433;99.087;98.877;97.399;98.054;
13:10:33;31.0;1659323434;99.084;98.862;97.368;98.063;
13:10:34;32.0;1659323436;99.079;98.841;97.262;98.011;
13:10:36;34.0;1659323437;99.07;98.783;97.266;97.987;
13:10:37;35.0;1659323438;99.03;98.749;97.156;97.94;
13:10:38;36.0;1659323439;99.045;98.74;97.145;97.977;
13:10:39;37.0;1659323440;98.99;98.691;97.091;97.924;
13:10:40;38.0;1659323441;98.969;98.677;97.143;97.898;
13:10:41;39.0;1659323442;98.922;98.625;97.171;97.812;
13:10:42;40.0;1659323444;98.878;98.607;97.159;97.768;
13:10:44;42.0;1659323445;98.876;98.555;97.116;97.704;
13:10:45;43.0;1659323446;98.87;98.559;96.992;97.718;
13:10:46;44.0;1659323447;98.903;98.541;96.917;97.68;
13:10:47;45.0;1659323448;98.921;98.547;96.879;97.645;
13:10:48;46.0;1659323449;98.927;98.52;96.9;97.616;
13:10:49;47.0;1659323451;98.851;98.517;96.917;97.599;
13:10:50;48.0;1659323452;98.805;98.496;96.831;97.591;
13:10:52;50.0;1659323453;98.764;98.45;96.765;97.554;
13:10:53;51.0;1659323454;98.82;98.423;96.723;97.504;
13:10:54;52.0;1659323455;98.756;98.393;96.743;97.481;
13:10:55;53.0;1659323456;98.73;98.4;96.676;97.44;
13:10:56;54.0;1659323457;98.713;98.367;96.644;97.446;
13:10:57;55.0;1659323459;98.742;98.327;96.577;97.42;
13:10:58;56.0;1659323460;98.766;98.269;96.6;97.332;
13:11:00;58.0;1659323461;98.726;98.245;96.505;97.317;
13:11:01;59.0;1659323462;98.714;98.205;96.472;97.3;
13:11:02;60.0;1659323463;98.668;98.188;96.43;97.337;
13:11:03;61.0;1659323464;98.671;98.164;96.46;97.317;
13:11:04;62.0;1659323465;98.615;98.189;96.458;97.255;
13:11:05;63.0;1659323466;98.563;98.155;96.414;97.223;
13:11:06;64.0;1659323468;98.566;98.14;96.381;97.197;
13:11:08;66.0;1659323469;98.555;98.089;96.375;97.215;
13:11:09;67.0;1659323470;98.608;98.111;96.363;97.201;
13:11:10;68.0;1659323471;98.53;98.084;96.351;97.188;
13:11:11;69.0;1659323472;98.539;98.057;96.273;97.183;
13:11:12;70.0;1659323474;98.487;97.999;96.213;97.155;
13:11:13;71.0;1659323475;98.507;97.969;96.088;97.07;
13:11:14;72.0;1659323476;98.499;97.96;96.01;96.946;
13:11:16;74.0;1659323477;98.484;97.939;95.949;96.858;
13:11:17;75.0;1659323478;98.482;97.885;95.964;96.852;
13:11:18;76.0;1659323479;98.432;97.855;95.949;96.9;
13:11:19;77.0;1659323480;98.397;97.831;95.916;96.937;
13:11:20;78.0;1659323481;98.355;97.828;95.88;96.929;
13:11:21;79.0;1659323483;98.361;97.81;95.852;96.906;
13:11:22;80.0;1659323484;98.382;97.796;95.845;96.921;
13:11:24;82.0;1659323485;98.376;97.766;95.745;96.894;
13:11:25;83.0;1659323486;98.342;97.699;95.711;96.881;
13:11:26;84.0;1659323487;98.298;97.672;95.677;96.891;
13:11:27;85.0;1659323488;98.29;97.673;95.654;96.877;
13:11:28;86.0;1659323489;98.276;97.682;95.623;96.848;
13:11:29;87.0;1659323490;98.265;97.671;95.582;96.772;
13:11:30;88.0;1659323492;98.265;97.653;95.592;96.723;
13:11:32;90.0;1659323493;98.274;97.604;95.524;96.684;
13:11:33;91.0;1659323494;98.237;97.562;95.482;96.664;
13:11:34;92.0;1659323495;98.147;97.517;95.401;96.657;
13:11:35;93.0;1659323496;98.06;97.521;95.357;96.623;
13:11:36;94.0;1659323498;98.04;97.506;95.285;96.561;
13:11:37;95.0;1659323499;98.067;97.509;95.212;96.532;
13:11:39;97.0;1659323500;98.079;97.48;95.174;96.482;
13:11:40;98.0;1659323501;98.051;97.429;95.115;96.492;
13:11:41;99.0;1659323502;98.004;97.386;95.072;96.472;
13:11:42;100.0;1659323503;97.973;97.371;95.008;96.456;
13:11:43;101.0;1659323504;97.951;97.372;94.984;96.361;
13:11:44;102.0;1659323506;97.946;97.345;94.981;96.283;
13:11:45;103.0;1659323507;97.976;97.33;94.971;96.243;
13:11:47;105.0;1659323508;97.991;97.334;94.932;96.285;
13:11:48;106.0;1659323509;98.023;97.325;94.915;96.289;
13:11:49;107.0;1659323510;97.98;97.28;94.868;96.287;
13:11:50;108.0;1659323511;97.955;97.226;94.839;96.209;
13:11:51;109.0;1659323512;97.866;97.16;94.789;96.213;
13:11:52;110.0;1659323513;97.77;97.113;94.771;96.191;
13:11:53;111.0;1659323515;97.719;97.065;94.722;96.201;
13:11:55;113.0;1659323516;97.676;97.072;94.672;96.117;
13:11:56;114.0;1659323517;97.726;97.078;94.675;96.075;
13:11:57;115.0;1659323518;97.727;97.088;94.672;95.982;
13:11:58;116.0;1659323519;97.73;97.07;94.646;95.978;
13:11:59;117.0;1659323520;97.713;97.025;94.54;95.926;
13:12:00;118.0;1659323522;97.69;96.986;94.454;95.912;
13:12:01;119.0;1659323523;97.67;96.962;94.488;95.893;
13:12:03;121.0;1659323524;97.627;96.93;94.51;95.839;
13:12:04;122.0;1659323525;97.627;96.906;94.496;95.806;
13:12:05;123.0;1659323526;97.614;96.867;94.389;95.755;
13:12:06;124.0;1659323527;97.632;96.859;94.338;95.77;
13:12:07;125.0;1659323528;97.641;96.85;94.3;95.771;
13:12:08;126.0;1659323530;97.619;96.823;94.263;95.761;
13:12:09;127.0;1659323531;97.585;96.79;94.153;95.695;
13:12:10;128.0;1659323532;97.475;96.754;94.099;95.661;
13:12:12;130.0;1659323533;97.455;96.767;94.003;95.63;
13:12:13;131.0;1659323534;97.453;96.771;93.987;95.651;
13:12:14;132.0;1659323535;97.425;96.729;93.943;95.576;
13:12:15;133.0;1659323536;97.356;96.681;93.959;95.533;
13:12:16;134.0;1659323537;97.325;96.655;93.929;95.49;
13:12:17;135.0;1659323539;97.32;96.676;93.922;95.477;
13:12:18;136.0;1659323540;97.359;96.647;93.928;95.437;
13:12:20;138.0;1659323541;97.38;96.614;93.954;95.389;
13:12:21;139.0;1659323542;97.329;96.57;93.942;95.37;
13:12:22;140.0;1659323543;97.235;96.54;93.842;95.348;
13:12:23;141.0;1659323544;97.175;96.525;93.803;95.317;
13:12:24;142.0;1659323545;97.179;96.484;93.779;95.264;
13:12:25;143.0;1659323547;97.148;96.433;93.765;95.207;
13:12:27;145.0;1659323548;97.105;96.407;93.72;95.197;
13:12:28;146.0;1659323549;97.034;96.374;93.654;95.152;
13:12:29;147.0;1659323550;97.046;96.398;93.609;95.136;
13:12:30;148.0;1659323551;97.042;96.393;93.537;95.076;
13:12:31;149.0;1659323552;97.121;96.387;93.515;95.059;
13:12:32;150.0;1659323554;97.113;96.363;93.51;95.003;
13:12:33;151.0;1659323555;97.044;96.334;93.456;95.001;
13:12:35;153.0;1659323556;96.953;96.331;93.391;95.019;
13:12:36;154.0;1659323557;96.939;96.298;93.334;95.014;
13:12:37;155.0;1659323558;96.906;96.248;93.322;94.942;
13:12:38;156.0;1659323559;96.892;96.21;93.316;94.885;
13:12:39;157.0;1659323560;96.806;96.169;93.289;94.854;
13:12:40;158.0;1659323561;96.749;96.139;93.263;94.837;
13:12:41;159.0;1659323563;96.73;96.104;93.212;94.817;
13:12:43;161.0;1659323564;96.769;96.093;93.145;94.797;
13:12:44;162.0;1659323565;96.793;96.069;93.08;94.789;
13:12:45;163.0;1659323566;96.791;96.037;92.999;94.736;
13:12:46;164.0;1659323567;96.732;96.008;93.01;94.711;
13:12:47;165.0;1659323568;96.684;95.99;92.934;94.695;
13:12:48;166.0;1659323569;96.647;95.97;92.933;94.695;
13:12:49;167.0;1659323571;96.642;95.937;92.887;94.679;
13:12:50;168.0;1659323572;96.606;95.905;92.902;94.672;
13:12:52;170.0;1659323573;96.544;95.87;92.824;94.611;
13:12:53;171.0;1659323574;96.482;95.856;92.779;94.549;
13:12:54;172.0;1659323575;96.477;95.82;92.744;94.472;
13:12:55;173.0;1659323576;96.435;95.8;92.744;94.429;
13:12:56;174.0;1659323577;96.425;95.77;92.673;94.41;
13:12:57;175.0;1659323579;96.411;95.759;92.668;94.394;
13:12:58;176.0;1659323580;96.417;95.771;92.676;94.389;
13:13:00;178.0;1659323581;96.387;95.765;92.715;94.358;
13:13:01;179.0;1659323582;96.333;95.775;92.632;94.336;
13:13:02;180.0;1659323583;96.271;95.719;92.579;94.306;
13:13:03;181.0;1659323584;96.229;95.683;92.515;94.29;
13:13:04;182.0;1659323585;96.211;95.624;92.448;94.253;
13:13:05;183.0;1659323587;96.191;95.598;92.433;94.239;
13:13:06;184.0;1659323588;96.195;95.592;92.338;94.197;
